subID,behav_PL,PL_high,PL_low,PL_highLow,PL_arousal_highLow,PL_valence_highLow
700,2.46624848925617,-7.8940397350996e-05,0.0274391025641026,-0.0275180429614536,-0.000426535238751148,9.31215564738291e-05
701,2.46913208539553,0.00239179894179893,0.0143054487179487,-0.0119136497761498,-0.000694501957992168,0.000691115699537202
702,2.94299340767599,-0.138130463576159,0.137900159744409,-0.276030623320567,-0.00196806265574938,0.000519495906016376
705,1.05545467707331,-0.0338579920739763,0.0416915873015873,-0.0755495793755636,-0.00117708286923591,-6.99348407217644e-05
706,3.13093002209777,-0.0446401585204756,0.0826933333333333,-0.127333491853809,-0.000363020717308978,0.000362274448652261
707,2.08316295139366,-0.00582892998678996,0.0132982456140351,-0.019127175600825,-0.000303471783865674,4.29687609589137e-05
709,2.72902811147794,-0.0104276089828269,0.0483936204146731,-0.0588212293975001,-0.00068348272524513,-0.0003569863513305
711,3.55394071757631,-0.117011492734478,0.110851036682616,-0.227862529417094,-0.00173803812649918,-4.79737406893041e-06
712,3.61411792058364,-0.0464276821192053,0.0628578274760383,-0.109285509595244,-0.000858531861872552,-8.09939480242078e-05
715,3.22842909084518,-0.0156063492063492,0.0445565495207668,-0.0601628987271161,-0.000321160042964554,-0.000535979987562892
718,3.45707696757581,-0.0149480158730159,0.031618341307815,-0.0465663571808309,-0.000748826954604557,0.000427828028718413
719,2.37611999862548,-0.00704544253632761,0.0158571428571429,-0.0229025853934705,-0.000770569725996881,0.000127230452216529
720,3.4387980094196,-0.0676581241743725,0.0846071770334929,-0.152265301207865,-0.00119213342871972,0.000543881945321158
721,2.51467641549923,-0.0126513870541612,0.0401490476190477,-0.0528004346732088,-0.000719525506794386,0.00035218032969481
722,2.90254604929035,-0.0272289299867899,0.0346808612440192,-0.0619097912308091,-0.000823866234622452,0.000191923017576344
724,3.41070059505448,-0.0141726552179657,0.041242264752791,-0.0554149199707567,-0.00103507413485952,-0.000296413191375949
725,3.96555709351484,2.65521796565399e-05,0.0244392344497607,-0.0244126822701042,-0.00128722804359719,0.000582485376425535
726,4.15643818773789,-0.0294482804232804,0.047438019169329,-0.0768862995926094,-0.000582429758607044,-0.000142272033467126
727,3.5214465607329,-0.0118034391534391,0.0236190476190476,-0.0354224867724867,-0.000416392430809802,2.55354963598872e-05
729,2.87498722232607,-0.0288981505944518,0.0601517460317461,-0.0890498966261979,-0.000990769102249944,0.000239969926486968
730,2.93313436213421,-0.014204359313078,0.04471488,-0.058919239313078,-0.000762626491039629,-5.80021482277122e-06
734,2.77993489866995,0.00458584656084655,0.0244690705128205,-0.019883223951974,-0.00107428693485226,-8.15464578141686e-05
736,2.40065200987917,-0.100388507265522,0.106132535885168,-0.206521043150689,-0.00226028980628147,-4.43799183604763e-05
738,3.40182650960055,-0.0137922060766182,0.0557036507936508,-0.069495856870269,-0.000312987302294499,-0.000281607819113388
741,-0.754736431080691,-0.0112578599735799,0.0195139682539683,-0.0307718282275482,-0.00106919414123413,-3.25378703497438e-05
742,2.13175412956445,-0.0225428571428572,0.0310016025641026,-0.0535444597069597,-0.000591769312922748,-0.000227750800996796
749,-0.754736431080691,-0.0986558784676353,0.110210634920635,-0.20886651338827,-0.00202376085987971,0.000640727333481844
750,4.72178528155726,-0.0133821428571428,0.0227399038461539,-0.0361220467032967,-0.000730016375934497,-8.59722321110715e-05
752,2.88143629136956,-0.0758472919418758,0.0919423999999999,-0.167789691941876,-0.000990604330374809,0.000392322912544519
755,1.83160862409449,-0.105885997357992,0.141612121212121,-0.247498118570113,-0.00141513838039529,0.000468018908948085
759,1.48847143374826,0.00676948480845444,0.0252732057416268,-0.0185037209331724,-0.00123942263182258,-0.000345758812720055
760,3.63513615339945,-0.0222204755614267,0.0456409523809523,-0.0678614279423791,-0.000543289151258632,0.000749554466473602
762,2.71555484400129,0.0225344782034346,0.00878373205741627,0.0137507461460183,-0.000405720377617865,0.000228781438931672
763,2.29221292924052,-0.0570191798941799,0.0863124401913875,-0.143331620085567,-0.00137306800836678,0.000362601051500933
764,2.27003087777855,-0.0194856010568032,0.036229365079365,-0.0557149661361682,-0.00141094898641123,0.000138402205390956
768,4.36855053913896,-0.0322718253968254,0.064922857142857,-0.0971946825396824,-0.000551487606783655,-5.35314003562962e-05
770,4.54800407892055,-0.0220401585204756,0.0486098883572568,-0.0706500468777323,-0.000742540924967386,-0.000105685309093969
800,3.12002389779799,-0.0232023778071334,0.0475893650793651,-0.0707917428864985,-0.000621260302962798,-0.000265994653597683
801,2.9313807468202,-0.00456834437086093,0.0330980830670926,-0.0376664274379536,-0.000823487362050551,-0.000546335350658597
